date,trend_score,park
2010-01-01,16.0,Acadia National Park
2010-02-01,18.0,Acadia National Park
2010-03-01,22.0,Acadia National Park
2010-04-01,28.0,Acadia National Park
2010-05-01,40.0,Acadia National Park
2010-06-01,55.0,Acadia National Park
2010-07-01,69.0,Acadia National Park
2010-08-01,59.0,Acadia National Park
2010-09-01,33.0,Acadia National Park
2010-10-01,21.0,Acadia National Park
2010-11-01,11.0,Acadia National Park
2010-12-01,10.0,Acadia National Park
2011-01-01,16.0,Acadia National Park
2011-02-01,17.0,Acadia National Park
2011-03-01,18.0,Acadia National Park
2011-04-01,24.0,Acadia National Park
2011-05-01,34.0,Acadia National Park
2011-06-01,49.0,Acadia National Park
2011-07-01,61.0,Acadia National Park
2011-08-01,52.0,Acadia National Park
2011-09-01,32.0,Acadia National Park
2011-10-01,23.0,Acadia National Park
2011-11-01,12.0,Acadia National Park
2011-12-01,11.0,Acadia National Park
2012-01-01,16.0,Acadia National Park
2012-02-01,16.0,Acadia National Park
2012-03-01,20.0,Acadia National Park
2012-04-01,26.0,Acadia National Park
2012-05-01,45.0,Acadia National Park
2012-06-01,50.0,Acadia National Park
2012-07-01,53.0,Acadia National Park
2012-08-01,55.0,Acadia National Park
2012-09-01,39.0,Acadia National Park
2012-10-01,19.0,Acadia National Park
2012-11-01,16.0,Acadia National Park
2012-12-01,10.0,Acadia National Park
2013-01-01,16.0,Acadia National Park
2013-02-01,16.0,Acadia National Park
2013-03-01,19.0,Acadia National Park
2013-04-01,31.0,Acadia National Park
2013-05-01,40.0,Acadia National Park
2013-06-01,49.0,Acadia National Park
2013-07-01,59.0,Acadia National Park
2013-08-01,53.0,Acadia National Park
2013-09-01,34.0,Acadia National Park
2013-10-01,31.0,Acadia National Park
2013-11-01,11.0,Acadia National Park
2013-12-01,11.0,Acadia National Park
2014-01-01,16.0,Acadia National Park
2014-02-01,16.0,Acadia National Park
2014-03-01,20.0,Acadia National Park
2014-04-01,25.0,Acadia National Park
2014-05-01,37.0,Acadia National Park
2014-06-01,49.0,Acadia National Park
2014-07-01,60.0,Acadia National Park
2014-08-01,54.0,Acadia National Park
2014-09-01,37.0,Acadia National Park
2014-10-01,22.0,Acadia National Park
2014-11-01,11.0,Acadia National Park
2014-12-01,12.0,Acadia National Park
2015-01-01,18.0,Acadia National Park
2015-02-01,17.0,Acadia National Park
2015-03-01,23.0,Acadia National Park
2015-04-01,30.0,Acadia National Park
2015-05-01,43.0,Acadia National Park
2015-06-01,52.0,Acadia National Park
2015-07-01,64.0,Acadia National Park
2015-08-01,63.0,Acadia National Park
2015-09-01,43.0,Acadia National Park
2015-10-01,26.0,Acadia National Park
2015-11-01,14.0,Acadia National Park
2015-12-01,15.0,Acadia National Park
2016-01-01,18.0,Acadia National Park
2016-02-01,26.0,Acadia National Park
2016-03-01,26.0,Acadia National Park
2016-04-01,34.0,Acadia National Park
2016-05-01,49.0,Acadia National Park
2016-06-01,69.0,Acadia National Park
2016-07-01,81.0,Acadia National Park
2016-08-01,65.0,Acadia National Park
2016-09-01,43.0,Acadia National Park
2016-10-01,31.0,Acadia National Park
2016-11-01,17.0,Acadia National Park
2016-12-01,15.0,Acadia National Park
2017-01-01,23.0,Acadia National Park
2017-02-01,26.0,Acadia National Park
2017-03-01,29.0,Acadia National Park
2017-04-01,35.0,Acadia National Park
2017-05-01,50.0,Acadia National Park
2017-06-01,59.0,Acadia National Park
2017-07-01,79.0,Acadia National Park
2017-08-01,64.0,Acadia National Park
2017-09-01,41.0,Acadia National Park
2017-10-01,34.0,Acadia National Park
2017-11-01,18.0,Acadia National Park
2017-12-01,16.0,Acadia National Park
2018-01-01,24.0,Acadia National Park
2018-02-01,26.0,Acadia National Park
