ParkName,UnitCode,ParkType,Region,TrafficCounter,Year,Month,TrafficCount,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionType,TrafficCountTotalLabel,YearTotal,TrafficCountTotal
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2000,1,"4,500",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2000,"281,071"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2000,2,"3,582",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2000,"281,071"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2000,3,"5,524",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2000,"281,071"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2000,4,"8,984",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2000,"281,071"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2000,5,"18,785",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2000,"281,071"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2000,6,"35,782",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2000,"281,071"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2000,7,"60,230",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2000,"281,071"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2000,8,"65,025",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2000,"281,071"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2000,9,"41,978",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2000,"281,071"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2000,10,"29,044",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2000,"281,071"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2000,11,"4,515",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2000,"281,071"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2000,12,"3,122",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2000,"281,071"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2001,1,"3,115",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2001,"284,475"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2001,2,"3,204",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2001,"284,475"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2001,3,"5,524",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2001,"284,475"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2001,4,"8,620",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2001,"284,475"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2001,5,"17,678",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2001,"284,475"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2001,6,"36,529",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2001,"284,475"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2001,7,"61,532",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2001,"284,475"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2001,8,"69,385",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2001,"284,475"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2001,9,"41,213",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2001,"284,475"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2001,10,"28,751",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2001,"284,475"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2001,11,"5,612",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2001,"284,475"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2001,12,"3,312",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2001,"284,475"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2002,1,"3,147",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2002,"290,005"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2002,2,"3,522",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2002,"290,005"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2002,3,"5,365",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2002,"290,005"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2002,4,"8,123",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2002,"290,005"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2002,5,"18,387",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2002,"290,005"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2002,6,"36,489",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2002,"290,005"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2002,7,"62,921",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2002,"290,005"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2002,8,"70,122",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2002,"290,005"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2002,9,"43,627",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2002,"290,005"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2002,10,"30,627",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2002,"290,005"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2002,11,"4,903",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2002,"290,005"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2002,12,"2,772",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2002,"290,005"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2003,1,"2,523",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2003,"269,740"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2003,2,"2,538",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2003,"269,740"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2003,3,"5,301",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SAND BEACH,2003,"269,740"
