ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionTotal,StateTotal,YearTotal,RecreationVisitsTotal,NonRecreationVisitsTotal,RecreationHoursTotal,NonRecreationHoursTotal,ConcessionerLodgingTotal,ConcessionerCampingTotal,TentCampersTotal,RVCampersTotal,BackcountryTotal,NonRecreationOvernightStaysTotal,MiscellaneousOvernightStaysTotal
Acadia NP,ACAD,National Park,Northeast ,ME,2000,1,"22,500","20,373","148,500","20,373",0,0,105,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2000,"2,469,238","252,576","13,230,679","252,576",0,0,"114,033","22,692",0,0,"9,747"
Acadia NP,ACAD,National Park,Northeast ,ME,2000,2,"23,848","19,923","157,397","19,923",0,0,75,6,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2000,"2,469,238","252,576","13,230,679","252,576",0,0,"114,033","22,692",0,0,"9,747"
Acadia NP,ACAD,National Park,Northeast ,ME,2000,3,"35,423","20,373","233,792","20,373",0,0,354,3,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2000,"2,469,238","252,576","13,230,679","252,576",0,0,"114,033","22,692",0,0,"9,747"
Acadia NP,ACAD,National Park,Northeast ,ME,2000,4,"78,555","21,723","455,619","21,723",0,0,"1,122",240,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2000,"2,469,238","252,576","13,230,679","252,576",0,0,"114,033","22,692",0,0,"9,747"
Acadia NP,ACAD,National Park,Northeast ,ME,2000,5,"166,456","21,923","965,445","21,923",0,0,"6,279",993,0,0,663,Acadia NP,ACAD,National Park,Northeast ,ME,2000,"2,469,238","252,576","13,230,679","252,576",0,0,"114,033","22,692",0,0,"9,747"
Acadia NP,ACAD,National Park,Northeast ,ME,2000,6,"319,208","21,723","1,851,406","21,723",0,0,"15,384","3,009",0,0,"2,054",Acadia NP,ACAD,National Park,Northeast ,ME,2000,"2,469,238","252,576","13,230,679","252,576",0,0,"114,033","22,692",0,0,"9,747"
Acadia NP,ACAD,National Park,Northeast ,ME,2000,7,"547,929","21,923","2,739,645","21,923",0,0,"34,500","4,953",0,0,"2,576",Acadia NP,ACAD,National Park,Northeast ,ME,2000,"2,469,238","252,576","13,230,679","252,576",0,0,"114,033","22,692",0,0,"9,747"
Acadia NP,ACAD,National Park,Northeast ,ME,2000,8,"594,904","21,923","2,974,520","21,923",0,0,"35,235","5,877",0,0,"3,065",Acadia NP,ACAD,National Park,Northeast ,ME,2000,"2,469,238","252,576","13,230,679","252,576",0,0,"114,033","22,692",0,0,"9,747"
Acadia NP,ACAD,National Park,Northeast ,ME,2000,9,"378,135","21,723","1,890,675","21,723",0,0,"15,396","5,427",0,0,764,Acadia NP,ACAD,National Park,Northeast ,ME,2000,"2,469,238","252,576","13,230,679","252,576",0,0,"114,033","22,692",0,0,"9,747"
Acadia NP,ACAD,National Park,Northeast ,ME,2000,10,"253,626","20,373","1,521,756","20,373",0,0,"5,151","1,929",0,0,625,Acadia NP,ACAD,National Park,Northeast ,ME,2000,"2,469,238","252,576","13,230,679","252,576",0,0,"114,033","22,692",0,0,"9,747"
Acadia NP,ACAD,National Park,Northeast ,ME,2000,11,"33,693","20,223","202,158","20,223",0,0,345,240,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2000,"2,469,238","252,576","13,230,679","252,576",0,0,"114,033","22,692",0,0,"9,747"
Acadia NP,ACAD,National Park,Northeast ,ME,2000,12,"14,961","20,373","89,766","20,373",0,0,87,15,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2000,"2,469,238","252,576","13,230,679","252,576",0,0,"114,033","22,692",0,0,"9,747"
Acadia NP,ACAD,National Park,Northeast ,ME,2001,1,"18,090","20,373","119,394","20,373",0,0,57,6,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2001,"2,516,551","252,576","13,467,741","252,576",0,0,"118,545","24,747",0,0,"10,382"
Acadia NP,ACAD,National Park,Northeast ,ME,2001,2,"23,926","19,923","157,911","19,923",0,0,87,15,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2001,"2,516,551","252,576","13,467,741","252,576",0,0,"118,545","24,747",0,0,"10,382"
Acadia NP,ACAD,National Park,Northeast ,ME,2001,3,"35,473","20,373","234,122","20,373",0,0,105,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2001,"2,516,551","252,576","13,467,741","252,576",0,0,"118,545","24,747",0,0,"10,382"
Acadia NP,ACAD,National Park,Northeast ,ME,2001,4,"76,007","21,723","440,841","21,723",0,0,"2,088",264,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2001,"2,516,551","252,576","13,467,741","252,576",0,0,"118,545","24,747",0,0,"10,382"
Acadia NP,ACAD,National Park,Northeast ,ME,2001,5,"157,353","21,923","912,647","21,923",0,0,"6,888","1,431",0,0,"1,044",Acadia NP,ACAD,National Park,Northeast ,ME,2001,"2,516,551","252,576","13,467,741","252,576",0,0,"118,545","24,747",0,0,"10,382"
Acadia NP,ACAD,National Park,Northeast ,ME,2001,6,"325,242","21,723","1,886,403","21,723",0,0,"15,564","2,913",0,0,"1,741",Acadia NP,ACAD,National Park,Northeast ,ME,2001,"2,516,551","252,576","13,467,741","252,576",0,0,"118,545","24,747",0,0,"10,382"
Acadia NP,ACAD,National Park,Northeast ,ME,2001,7,"558,641","21,923","2,793,205","21,923",0,0,"32,553","6,522",0,0,"3,397",Acadia NP,ACAD,National Park,Northeast ,ME,2001,"2,516,551","252,576","13,467,741","252,576",0,0,"118,545","24,747",0,0,"10,382"
Acadia NP,ACAD,National Park,Northeast ,ME,2001,8,"630,240","21,923","3,151,200","21,923",0,0,"37,452","6,384",0,0,"2,505",Acadia NP,ACAD,National Park,Northeast ,ME,2001,"2,516,551","252,576","13,467,741","252,576",0,0,"118,545","24,747",0,0,"10,382"
Acadia NP,ACAD,National Park,Northeast ,ME,2001,9,"377,456","21,723","1,887,280","21,723",0,0,"17,712","5,106",0,0,"1,045",Acadia NP,ACAD,National Park,Northeast ,ME,2001,"2,516,551","252,576","13,467,741","252,576",0,0,"118,545","24,747",0,0,"10,382"
Acadia NP,ACAD,National Park,Northeast ,ME,2001,10,"257,280","20,373","1,543,680","20,373",0,0,"5,232","1,950",0,0,650,Acadia NP,ACAD,National Park,Northeast ,ME,2001,"2,516,551","252,576","13,467,741","252,576",0,0,"118,545","24,747",0,0,"10,382"
Acadia NP,ACAD,National Park,Northeast ,ME,2001,11,"41,353","20,223","248,118","20,223",0,0,717,126,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2001,"2,516,551","252,576","13,467,741","252,576",0,0,"118,545","24,747",0,0,"10,382"
Acadia NP,ACAD,National Park,Northeast ,ME,2001,12,"15,490","20,373","92,940","20,373",0,0,90,30,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2001,"2,516,551","252,576","13,467,741","252,576",0,0,"118,545","24,747",0,0,"10,382"
Acadia NP,ACAD,National Park,Northeast ,ME,2002,1,"15,309","20,373","101,041","20,373",0,0,123,3,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2002,"2,558,572","252,576","13,683,657","252,576",0,0,"122,340","22,545",0,0,"11,262"
Acadia NP,ACAD,National Park,Northeast ,ME,2002,2,"25,071","19,923","165,470","19,923",0,0,78,18,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2002,"2,558,572","252,576","13,683,657","252,576",0,0,"122,340","22,545",0,0,"11,262"
Acadia NP,ACAD,National Park,Northeast ,ME,2002,3,"34,498","20,373","227,687","20,373",0,0,300,75,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2002,"2,558,572","252,576","13,683,657","252,576",0,0,"122,340","22,545",0,0,"11,262"
Acadia NP,ACAD,National Park,Northeast ,ME,2002,4,"72,528","21,723","420,662","21,723",0,0,"2,040",288,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2002,"2,558,572","252,576","13,683,657","252,576",0,0,"122,340","22,545",0,0,"11,262"
Acadia NP,ACAD,National Park,Northeast ,ME,2002,5,"163,145","21,923","946,239","21,923",0,0,"7,191","1,227",0,0,793,Acadia NP,ACAD,National Park,Northeast ,ME,2002,"2,558,572","252,576","13,683,657","252,576",0,0,"122,340","22,545",0,0,"11,262"
