unitcode,Year,Month,temp_mean,temp_max,temp_min,rain,snow,cloud_cover
ACAD,2006,1,32.3,50.94,8.19,3.02,7.74,67.16
ACAD,2006,2,27.66,47.61,7.2,2.16,4.46,58.23
ACAD,2006,3,33.94,50.76,9.72,0.7,3.33,48.74
ACAD,2006,4,43.23,57.51,32.85,1.72,2.51,58.59
ACAD,2006,5,50.85,65.43,41.76,4.59,0.0,72.16
ACAD,2006,6,57.68,67.05,48.96,7.77,0.0,82.4
ACAD,2006,7,65.02,74.88,57.87,4.16,0.0,59.43
ACAD,2006,8,62.8,77.04,53.73,3.31,0.0,51.82
ACAD,2006,9,58.53,69.66,48.6,1.3,0.0,55.24
ACAD,2006,10,50.09,61.47,38.25,6.43,0.0,55.51
ACAD,2006,11,45.17,59.13,32.13,5.03,0.0,67.07
ACAD,2006,12,36.3,56.7,18.09,2.43,4.91,58.72
ACAD,2007,1,26.46,53.19,-0.81,2.32,4.41,52.78
ACAD,2007,2,20.17,40.5,0.81,0.22,10.17,46.69
ACAD,2007,3,31.16,48.15,-1.71,2.96,11.35,57.86
ACAD,2007,4,38.71,60.39,28.89,4.11,19.62,73.15
ACAD,2007,5,49.76,75.24,38.97,3.05,0.0,62.36
ACAD,2007,6,58.3,74.79,47.43,1.45,0.0,56.47
ACAD,2007,7,62.16,75.33,53.37,2.9,0.0,64.08
ACAD,2007,8,63.09,73.26,51.21,2.45,0.0,51.66
ACAD,2007,9,59.58,72.45,47.7,2.31,0.0,40.67
ACAD,2007,10,52.68,65.88,36.27,3.67,0.0,56.61
ACAD,2007,11,39.65,56.43,21.42,6.3,0.41,63.64
ACAD,2007,12,27.48,48.24,8.1,1.51,29.07,60.29
ACAD,2008,1,27.88,47.16,1.89,1.28,16.92,57.74
ACAD,2008,2,27.61,47.07,4.77,3.58,20.67,62.93
ACAD,2008,3,31.16,45.45,16.29,3.8,15.54,65.04
ACAD,2008,4,42.32,62.28,30.42,2.26,1.21,52.26
ACAD,2008,5,50.12,63.99,36.9,1.71,0.0,62.66
ACAD,2008,6,58.33,71.82,48.96,2.39,0.0,73.74
ACAD,2008,7,64.8,74.52,55.08,3.64,0.0,61.68
ACAD,2008,8,61.82,72.45,55.26,2.66,0.0,62.85
ACAD,2008,9,58.9,73.8,46.08,10.41,0.0,52.74
ACAD,2008,10,49.53,61.11,31.5,4.3,0.0,49.33
ACAD,2008,11,40.92,57.69,22.41,4.76,1.24,59.06
ACAD,2008,12,31.32,54.54,9.63,4.11,20.06,66.16
ACAD,2009,1,19.82,41.22,-6.12,0.83,17.61,48.65
ACAD,2009,2,27.54,44.73,4.86,0.91,17.91,64.17
