park_code,park_name,state,Parklatitude,Parklongitude
acad,Acadia National Park,ME,44.409286,-68.247501
arch,Arches National Park,UT,38.72261844,-109.5863666
badl,Badlands National Park,SD,43.68584846,-102.482942
bibe,Big Bend National Park,TX,29.29817767,-103.2297897
bisc,Biscayne National Park,FL,25.490587,-80.21023851
blca,Black Canyon Of The Gunnison National Park,CO,38.57779869,-107.7242756
brca,Bryce Canyon National Park,UT,37.58399144,-112.1826689
cany,Canyonlands National Park,UT,38.24555783,-109.8801624
care,Capitol Reef National Park,UT,38.2821653131,-111.247048378
cave,Carlsbad Caverns National Park,NM,32.14089463,-104.5529688
chis,Channel Islands National Park,CA,33.98680093,-119.9112735
cong,Congaree National Park,SC,33.79187523,-80.74867805
crla,Crater Lake National Park,OR,42.94065854,-122.1338414
cuva,Cuyahoga Valley National Park,OH,41.26093905,-81.57116722
deva,Death Valley National Park,"CA,NV",36.48753731,-117.134395
dena,Denali National Park & Preserve,AK,63.29777484,-151.0526568
drto,Dry Tortugas National Park,FL,24.628741,-82.87319
ever,Everglades National Park,FL,25.37294225,-80.88200301
gaar,Gates Of The Arctic National Park & Preserve,AK,67.75961636,-153.2917758
jeff,Gateway Arch National Park,MO,38.6258069,-90.1892508
glba,Glacier Bay National Park & Preserve,AK,58.80086718,-136.8407579
glac,Glacier National Park,MT,48.68414678,-113.8009306
grca,Grand Canyon National Park,AZ,36.0001165336,-112.121516363
grte,Grand Teton National Park,WY,43.81853565,-110.7054666
grba,Great Basin National Park,NV,38.94617378,-114.2579782
grsa,Great Sand Dunes National Park & Preserve,CO,37.79256812,-105.5919572
grsm,Great Smoky Mountains National Park,"NC,TN",35.60116374,-83.50818326
gumo,Guadalupe Mountains National Park,TX,31.92304462,-104.885527
hale,Haleakalā National Park,HI,20.70693015,-156.1591775
havo,Hawaiʻi Volcanoes National Park,HI,19.3355036,-155.4700257
hosp,Hot Springs National Park,AR,34.52414366,-93.06332936
indu,Indiana Dunes National Park,IN,41.63765525,-87.09647445
isro,Isle Royale National Park,MI,48.01145819,-88.82780657
jotr,Joshua Tree National Park,CA,33.91418525,-115.8398125
katm,Katmai National Park & Preserve,AK,58.62235668,-155.0126574
kefj,Kenai Fjords National Park,AK,59.81804414,-150.106502
kova,Kobuk Valley National Park,AK,67.35631336,-159.2002293
lacl,Lake Clark National Park & Preserve,AK,60.57405857,-153.55535
lavo,Lassen Volcanic National Park,CA,40.49354575,-121.4075993
maca,Mammoth Cave National Park,KY,37.19760458,-86.13090198
meve,Mesa Verde National Park,CO,37.23908345,-108.4624032
mora,Mount Rainier National Park,WA,46.86075416,-121.7043885
npsa,National Park of American Samoa,AS,-14.22865935,-169.8503777
neri,New River Gorge National Park & Preserve,WV,37.86878554,-80.99956002
noca,North Cascades National Park,WA,48.71171756,-121.2069423
olym,Olympic National Park,WA,47.80392754,-123.6663848
pefo,Petrified Forest National Park,AZ,34.98387664,-109.7877678
pinn,Pinnacles National Park,CA,36.49029208,-121.1813607
redw,Redwood National and State Parks,CA,41.37237268,-124.0318129
romo,Rocky Mountain National Park,CO,40.3556924,-105.6972879
sagu,Saguaro National Park,AZ,32.20909636,-110.7574974
seki,Sequoia & Kings Canyon National Parks,CA,36.71277299,-118.587429
shen,Shenandoah National Park,VA,38.49236644,-78.46907715
thro,Theodore Roosevelt National Park,ND,47.17777274,-103.4300083
viis,Virgin Islands National Park,VI,18.34279656,-64.74194451
voya,Voyageurs National Park,MN,48.48370609,-92.8382913
whsa,White Sands National Park,NM,32.77907858,-106.3333461
wica,Wind Cave National Park,SD,43.58012365,-103.4394709
wrst,Wrangell - St Elias National Park & Preserve,AK,61.4182147,-142.6028439
yell,Yellowstone National Park,"ID,MT,WY",44.59824417,-110.5471695
yose,Yosemite National Park,CA,37.84883288,-119.5571873
zion,Zion National Park,UT,37.29839254,-113.0265138
