unitcode,Year,Month,temp_mean,temp_max,temp_min,rain,snow,cloud_cover
KOVA,2011,1,-5.45,26.5,-48.56,0.0,6.17,64.05
KOVA,2011,2,-4.41,31.63,-34.79,0.01,23.01,76.78
KOVA,2011,3,1.62,29.74,-15.89,0.0,4.3,37.69
KOVA,2011,4,14.33,42.52,-16.97,0.1,4.16,49.3
KOVA,2011,5,38.68,75.37,13.63,0.7,2.45,51.45
KOVA,2011,6,55.18,74.83,36.4,2.17,0.0,65.68
KOVA,2011,7,55.45,76.0,42.25,2.3,0.0,79.12
KOVA,2011,8,50.23,64.84,38.74,3.28,0.0,70.1
KOVA,2011,9,41.03,59.62,27.31,1.86,0.55,68.81
KOVA,2011,10,23.05,36.94,-11.57,0.01,14.69,75.06
KOVA,2011,11,-11.58,17.77,-30.56,0.0,2.76,55.41
KOVA,2011,12,-6.94,28.12,-49.73,0.0,21.55,72.64
KOVA,2012,1,-36.18,0.22,-63.41,0.0,2.45,62.51
KOVA,2012,2,-5.89,23.8,-63.95,0.0,4.19,73.79
KOVA,2012,3,-13.09,14.71,-35.06,0.0,2.48,43.02
KOVA,2012,4,21.61,42.43,-13.37,0.0,2.31,59.41
KOVA,2012,5,35.82,65.92,2.92,0.87,0.74,67.67
KOVA,2012,6,57.83,76.27,35.23,0.56,0.0,54.45
KOVA,2012,7,56.52,74.92,39.64,3.61,0.0,76.17
KOVA,2012,8,49.88,67.27,34.51,8.73,0.0,90.05
KOVA,2012,9,38.31,53.86,25.6,3.97,1.54,71.59
KOVA,2012,10,25.85,41.53,12.55,1.78,2.48,55.06
KOVA,2012,11,-4.05,17.32,-19.49,0.0,0.41,23.86
KOVA,2012,12,-17.01,21.91,-41.9,0.0,4.11,51.09
KOVA,2013,1,-4.38,28.57,-28.85,0.0,14.0,61.47
KOVA,2013,2,-12.81,13.27,-35.51,0.0,5.04,71.92
KOVA,2013,3,0.23,26.59,-24.89,0.0,4.27,59.74
KOVA,2013,4,10.58,35.23,-22.37,0.0,3.2,35.81
KOVA,2013,5,29.12,62.68,-1.67,0.43,4.69,59.97
KOVA,2013,6,58.25,85.27,34.33,1.3,0.0,60.84
KOVA,2013,7,57.15,77.08,42.79,2.13,0.0,77.5
KOVA,2013,8,51.3,71.59,26.59,2.98,0.22,67.91
KOVA,2013,9,36.93,56.65,23.89,2.79,1.82,71.22
KOVA,2013,10,31.81,44.32,13.18,3.78,13.17,80.1
KOVA,2013,11,0.76,37.21,-26.42,0.67,19.13,67.04
KOVA,2013,12,-3.45,36.76,-34.25,0.65,6.81,62.12
KOVA,2014,1,4.92,32.89,-35.06,0.03,13.75,72.89
KOVA,2014,2,-3.31,26.86,-31.91,0.0,3.5,42.75
KOVA,2014,3,7.24,29.65,-20.75,0.0,2.45,37.17
KOVA,2014,4,22.18,44.05,-9.32,0.21,2.18,43.47
KOVA,2014,5,39.39,58.27,18.49,1.98,0.94,72.81
KOVA,2014,6,51.54,70.6,37.03,2.28,0.0,81.0
KOVA,2014,7,54.08,81.13,35.59,4.83,0.0,74.49
KOVA,2014,8,54.71,70.96,31.36,2.27,0.0,59.25
KOVA,2014,9,40.96,61.96,22.81,3.08,0.85,62.14
KOVA,2014,10,21.99,41.53,-4.46,0.15,10.91,57.08
KOVA,2014,11,4.64,34.69,-19.4,0.02,3.09,48.8
KOVA,2014,12,-3.21,32.08,-26.69,0.0,12.07,72.32
KOVA,2015,1,-9.43,26.77,-46.76,0.0,5.29,60.04
KOVA,2015,2,4.82,33.43,-26.33,0.03,18.08,63.83
KOVA,2015,3,-0.74,26.86,-40.73,0.0,9.29,64.57
KOVA,2015,4,21.62,42.88,-2.57,0.27,6.17,67.5
KOVA,2015,5,45.02,66.64,22.45,1.25,0.0,64.11
KOVA,2015,6,54.27,78.7,32.8,1.33,0.0,48.59
KOVA,2015,7,60.72,83.38,45.67,1.4,0.0,57.39
KOVA,2015,8,49.27,67.36,31.27,4.61,0.0,78.53
KOVA,2015,9,35.98,59.53,22.36,0.66,8.96,59.1
KOVA,2015,10,26.0,41.26,2.74,1.06,6.28,77.65
KOVA,2015,11,6.76,33.34,-36.68,0.02,27.48,80.31
KOVA,2015,12,-12.15,32.89,-42.62,0.0,4.8,69.18
KOVA,2016,1,2.01,32.89,-32.0,0.02,7.0,56.18
KOVA,2016,2,4.05,23.71,-16.61,0.0,3.44,58.93
KOVA,2016,3,2.45,25.42,-15.08,0.0,2.31,42.54
KOVA,2016,4,26.41,45.85,4.54,0.11,6.34,47.41
KOVA,2016,5,44.49,70.33,23.53,2.57,0.0,57.53
KOVA,2016,6,55.23,77.8,33.07,1.35,0.0,59.23
KOVA,2016,7,61.33,82.12,42.25,1.2,0.0,61.43
KOVA,2016,8,54.51,68.08,38.29,4.22,0.0,74.27
KOVA,2016,9,40.05,62.32,23.17,3.29,4.44,66.72
KOVA,2016,10,29.12,48.64,13.63,0.09,3.61,61.06
KOVA,2016,11,-1.19,22.72,-31.55,0.0,2.31,52.15
KOVA,2016,12,-4.74,31.91,-30.11,0.0,14.0,59.68
KOVA,2017,1,-5.38,36.05,-46.03,0.13,8.96,63.99
KOVA,2017,2,-4.2,31.73,-32.62,0.0,12.13,50.29
KOVA,2017,3,-6.21,15.98,-31.72,0.0,0.0,30.33
KOVA,2017,4,26.71,42.62,-1.3,0.0,1.21,38.84
KOVA,2017,5,40.28,57.74,21.38,0.88,0.63,50.62
KOVA,2017,6,55.21,71.51,36.95,1.13,0.0,68.21
KOVA,2017,7,61.68,80.06,46.67,1.56,0.0,70.44
KOVA,2017,8,47.81,68.45,32.0,3.13,0.11,78.08
KOVA,2017,9,40.99,55.85,25.52,3.27,0.19,70.51
KOVA,2017,10,27.43,43.34,-1.75,0.74,17.91,81.86
KOVA,2017,11,11.36,32.81,-11.02,0.0,18.55,63.78
KOVA,2017,12,13.97,34.7,-7.96,0.01,16.76,81.74
WICA,2011,1,19.92,55.14,-17.04,0.12,5.62,58.01
WICA,2011,2,21.39,63.51,-15.15,0.06,8.05,52.17
WICA,2011,3,32.67,68.64,-0.03,0.53,7.11,69.6
WICA,2011,4,44.41,76.11,16.71,1.13,6.48,67.75
WICA,2011,5,51.89,79.8,29.49,6.36,0.0,66.67
WICA,2011,6,65.63,99.51,42.27,1.65,0.0,38.82
WICA,2011,7,76.35,100.23,58.2,2.44,0.0,34.58
WICA,2011,8,74.19,97.53,54.42,3.17,0.0,29.88
WICA,2011,9,62.07,86.55,38.58,1.1,0.0,26.87
WICA,2011,10,51.56,89.34,26.61,1.07,0.0,45.56
WICA,2011,11,36.42,60.45,1.59,0.23,2.87,43.21
WICA,2011,12,30.24,55.68,9.33,0.09,2.67,31.5
WICA,2012,1,31.51,63.51,2.76,0.14,1.1,43.52
WICA,2012,2,29.91,57.66,3.93,0.15,3.8,51.45
WICA,2012,3,50.6,81.33,21.84,0.04,0.08,36.97
